Na,Ca,K,Mg,Cu,Ni,Zn,Cu_pred,Cu_err,Ni_pred,Ni_err,Zn_pred,Zn_err
0.0,250.0,0.0,0.0,2.0,2.0,2.0,1.81,-0.192,1.68,-0.324,1.66,-0.338
0.0,250.0,0.0,0.0,2.0,2.0,2.0,1.86,-0.143,1.63,-0.368,1.75,-0.245
0.0,375.0,0.0,0.0,2.0,2.0,2.0,1.65,-0.349,1.3,-0.7,1.6,-0.399
0.0,375.0,0.0,0.0,2.0,2.0,2.0,1.67,-0.333,1.27,-0.735,1.59,-0.414
0.0,375.0,0.0,0.0,2.0,2.0,2.0,1.7,-0.3,1.29,-0.712,1.59,-0.407
0.0,500.0,0.0,0.0,2.0,2.0,2.0,1.61,-0.387,1.26,-0.736,1.6,-0.401
0.0,500.0,0.0,0.0,2.0,2.0,2.0,1.65,-0.347,1.22,-0.776,1.66,-0.344
0.0,500.0,0.0,0.0,2.0,2.0,2.0,1.57,-0.429,1.32,-0.678,1.74,-0.259
0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.23,0.226,2.8,-0.196,3.13,0.127
0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.14,0.142,2.93,-0.0678,2.82,-0.175
0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.33,0.33,3.24,0.241,3.1,0.101
0.0,125.0,0.0,0.0,3.0,3.0,3.0,2.74,-0.255,2.53,-0.472,2.53,-0.467
0.0,125.0,0.0,0.0,3.0,3.0,3.0,2.74,-0.264,2.48,-0.517,2.56,-0.444
0.0,125.0,0.0,0.0,3.0,3.0,3.0,2.75,-0.248,2.28,-0.718,2.39,-0.606
0.0,250.0,0.0,0.0,3.0,3.0,3.0,2.61,-0.392,2.43,-0.567,2.56,-0.44
0.0,250.0,0.0,0.0,3.0,3.0,3.0,2.77,-0.232,2.5,-0.499,2.79,-0.211
0.0,250.0,0.0,0.0,3.0,3.0,3.0,2.72,-0.28,2.38,-0.619,2.71,-0.285
0.0,375.0,0.0,0.0,3.0,3.0,3.0,2.54,-0.459,1.89,-1.11,2.37,-0.629
0.0,375.0,0.0,0.0,3.0,3.0,3.0,2.38,-0.616,1.86,-1.14,2.55,-0.453
0.0,375.0,0.0,0.0,3.0,3.0,3.0,2.46,-0.54,2.05,-0.945,2.58,-0.424
0.0,500.0,0.0,0.0,3.0,3.0,3.0,2.29,-0.709,1.91,-1.09,2.44,-0.559
0.0,500.0,0.0,0.0,3.0,3.0,3.0,2.35,-0.65,1.82,-1.18,2.37,-0.626
0.0,500.0,0.0,0.0,3.0,3.0,3.0,2.28,-0.718,1.85,-1.15,2.29,-0.711
0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.37,0.366,4.13,0.132,4.03,0.0289
0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.32,0.316,4.14,0.145,4.11,0.108
0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.32,0.316,4.16,0.162,4.11,0.109
0.0,125.0,0.0,0.0,4.0,4.0,4.0,3.54,-0.462,3.42,-0.578,3.34,-0.658
0.0,125.0,0.0,0.0,4.0,4.0,4.0,3.73,-0.265,3.51,-0.488,3.55,-0.452
0.0,125.0,0.0,0.0,4.0,4.0,4.0,3.67,-0.327,3.65,-0.351,3.38,-0.615
0.0,250.0,0.0,0.0,4.0,4.0,4.0,3.43,-0.566,3.13,-0.866,3.38,-0.619
0.0,250.0,0.0,0.0,4.0,4.0,4.0,3.59,-0.41,3.26,-0.745,3.48,-0.523
0.0,250.0,0.0,0.0,4.0,4.0,4.0,3.56,-0.436,3.51,-0.488,3.55,-0.45
0.0,375.0,0.0,0.0,4.0,4.0,4.0,3.29,-0.705,2.63,-1.37,3.24,-0.763
0.0,375.0,0.0,0.0,4.0,4.0,4.0,3.1,-0.899,2.71,-1.29,3.16,-0.84
0.0,375.0,0.0,0.0,4.0,4.0,4.0,3.24,-0.758,2.77,-1.23,3.26,-0.744
0.0,500.0,0.0,0.0,4.0,4.0,4.0,3.15,-0.854,2.73,-1.27,3.27,-0.731
